
"TS007B - Age by broad age bands"
"ONS Crown Copyright Reserved [from Nomis on 6 January 2026]"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","Aged 16 to 19 years","Aged 20 to 24 years"
"Hammersmith and Fulham 005A","E01001862",2.8,7.2
"Hammersmith and Fulham 005B","E01001940",3.4,6.5
"Hammersmith and Fulham 005C","E01001941",2.6,11.1
"Hammersmith and Fulham 005D","E01001942",2.4,9.5
"Hammersmith and Fulham 006A","E01001858",7.3,14.1
"Hammersmith and Fulham 006B","E01001860",4.0,9.1
"Hammersmith and Fulham 006C","E01001861",2.6,7.0
"Hammersmith and Fulham 006D","E01001863",4.1,7.2
"Hammersmith and Fulham 006E","E01001864",3.0,5.7
"Hammersmith and Fulham 007A","E01001852",2.0,8.4
"Hammersmith and Fulham 007B","E01001853",3.2,6.9
"Hammersmith and Fulham 007C","E01001854",2.9,7.3
"Hammersmith and Fulham 007D","E01001857",3.2,9.5
"Hammersmith and Fulham 008A","E01001859",4.3,6.7
"Hammersmith and Fulham 008B","E01001865",2.5,6.3
"Hammersmith and Fulham 008C","E01001927",4.8,4.8
"Hammersmith and Fulham 008D","E01001930",3.2,4.7
"Hammersmith and Fulham 009A","E01001895",3.2,6.3
"Hammersmith and Fulham 009B","E01001896",2.7,8.0
"Hammersmith and Fulham 009C","E01001897",3.8,5.6
"Hammersmith and Fulham 009D","E01001929",2.7,3.9
"Hammersmith and Fulham 010A","E01001851",2.8,5.2
"Hammersmith and Fulham 010B","E01001855",2.0,7.0
"Hammersmith and Fulham 010C","E01001856",3.8,5.6
"Hammersmith and Fulham 010D","E01001869",4.1,5.9
"Hammersmith and Fulham 010E","E01001873",3.0,8.4
"Hammersmith and Fulham 011A","E01001928",6.0,9.8
"Hammersmith and Fulham 011B","E01001931",3.2,5.1
"Hammersmith and Fulham 011C","E01001932",3.5,7.6
"Hammersmith and Fulham 011D","E01001933",2.6,6.4
"Hammersmith and Fulham 012A","E01001866",3.5,11.8
"Hammersmith and Fulham 012B","E01001867",2.9,13.1
"Hammersmith and Fulham 012C","E01001868",4.3,9.7
"Hammersmith and Fulham 012D","E01001870",2.3,15.3
"Hammersmith and Fulham 012E","E01001871",2.1,9.1
"Hammersmith and Fulham 012F","E01001872",2.0,8.9
"Hammersmith and Fulham 013A","E01001893",4.6,9.5
"Hammersmith and Fulham 013B","E01001894",3.2,10.8
"Hammersmith and Fulham 013C","E01001898",3.3,13.2
"Hammersmith and Fulham 013D","E01001899",4.3,5.6
"Hammersmith and Fulham 013E","E01001900",4.2,12.1
"Hammersmith and Fulham 014A","E01001889",2.9,13.9
"Hammersmith and Fulham 014B","E01001910",1.9,10.5
"Hammersmith and Fulham 014C","E01001913",1.5,16.6
"Hammersmith and Fulham 014D","E01001914",3.0,14.7
"Hammersmith and Fulham 015A","E01001885",5.5,9.1
"Hammersmith and Fulham 015B","E01001908",2.2,12.3
"Hammersmith and Fulham 015C","E01001909",3.6,11.9
"Hammersmith and Fulham 015D","E01001911",5.0,11.0
"Hammersmith and Fulham 015E","E01001912",7.0,10.8
"Hammersmith and Fulham 016A","E01001886",3.7,12.5
"Hammersmith and Fulham 016B","E01001887",4.0,12.2
"Hammersmith and Fulham 016C","E01001890",3.7,14.9
"Hammersmith and Fulham 016D","E01001892",4.0,10.0
"Hammersmith and Fulham 017A","E01001880",2.0,6.7
"Hammersmith and Fulham 017B","E01001881",2.9,10.6
"Hammersmith and Fulham 017C","E01001882",2.2,12.1
"Hammersmith and Fulham 017D","E01001883",2.2,12.4
"Hammersmith and Fulham 017E","E01001884",3.2,11.6
"Hammersmith and Fulham 018A","E01001888",3.4,14.6
"Hammersmith and Fulham 018B","E01001891",3.3,11.0
"Hammersmith and Fulham 018C","E01001917",3.3,9.2
"Hammersmith and Fulham 018D","E01001918",3.3,6.8
"Hammersmith and Fulham 018E","E01001919",3.4,6.2
"Hammersmith and Fulham 019A","E01001879",2.9,10.4
"Hammersmith and Fulham 019B","E01001901",2.7,9.0
"Hammersmith and Fulham 019C","E01001902",2.8,12.6
"Hammersmith and Fulham 019D","E01001903",4.2,11.1
"Hammersmith and Fulham 020A","E01001920",3.5,8.2
"Hammersmith and Fulham 020B","E01001921",2.9,8.8
"Hammersmith and Fulham 020C","E01001922",2.8,7.0
"Hammersmith and Fulham 020D","E01001923",3.6,7.4
"Hammersmith and Fulham 020E","E01001924",3.9,6.7
"Hammersmith and Fulham 021A","E01001947",5.2,9.9
"Hammersmith and Fulham 021B","E01001948",3.2,8.7
"Hammersmith and Fulham 021C","E01001949",2.8,9.0
"Hammersmith and Fulham 021D","E01001950",3.6,9.0
"Hammersmith and Fulham 021E","E01001951",2.8,10.3
"Hammersmith and Fulham 021F","E01001953",4.2,12.1
"Hammersmith and Fulham 022A","E01001904",2.7,10.2
"Hammersmith and Fulham 022B","E01001905",2.8,11.5
"Hammersmith and Fulham 022C","E01001906",3.0,7.8
"Hammersmith and Fulham 022D","E01001907",3.7,6.2
"Hammersmith and Fulham 023A","E01001935",2.1,7.8
"Hammersmith and Fulham 023D","E01032788",2.8,7.4
"Hammersmith and Fulham 023E","E01032789",5.0,7.6
"Hammersmith and Fulham 023F","E01032790",5.8,6.8
"Hammersmith and Fulham 023G","E01035486",4.1,9.3
"Hammersmith and Fulham 023H","E01035487",2.6,8.0
"Hammersmith and Fulham 024A","E01001915",3.4,7.1
"Hammersmith and Fulham 024B","E01001916",3.6,4.9
"Hammersmith and Fulham 024C","E01001926",2.1,7.2
"Hammersmith and Fulham 024D","E01001952",2.0,12.3
"Hammersmith and Fulham 025A","E01001925",4.1,6.4
"Hammersmith and Fulham 025B","E01001934",3.3,6.9
"Hammersmith and Fulham 025C","E01001937",2.6,7.0
"Hammersmith and Fulham 025D","E01001938",4.9,9.1
"Haringey 001A","E01001969",3.4,4.9
"Haringey 001B","E01001971",5.5,7.8
"Haringey 001C","E01001974",2.3,4.5
"Haringey 001D","E01001975",2.5,5.6
"Haringey 002A","E01002036",6.0,6.3
"Haringey 002B","E01002037",6.1,8.0
"Haringey 002C","E01002039",6.5,7.4
"Haringey 002D","E01002040",4.8,6.3
"Haringey 004A","E01001962",4.2,4.8
"Haringey 004B","E01001970",4.8,6.9
"Haringey 004C","E01001972",5.1,5.2
"Haringey 004D","E01001973",4.7,5.9
"Haringey 005A","E01002090",5.6,7.0
"Haringey 005B","E01002093",5.9,8.8
"Haringey 005C","E01002096",6.7,8.3
"Haringey 005D","E01002097",7.2,7.7
"Haringey 006A","E01002091",5.9,6.9
"Haringey 006B","E01002092",4.9,5.6
"Haringey 006C","E01002094",6.2,8.2
"Haringey 006D","E01002095",5.4,7.0
"Haringey 007A","E01002098",3.2,5.0
"Haringey 007B","E01002101",3.5,6.7
"Haringey 007C","E01002102",4.6,5.7
"Haringey 007D","E01002105",3.1,6.3
"Haringey 008A","E01002099",6.0,7.4
"Haringey 008B","E01002100",4.8,5.9
"Haringey 008C","E01002103",3.8,6.9
"Haringey 008D","E01002104",4.7,8.1
"Haringey 009A","E01001963",4.1,3.3
"Haringey 009B","E01001964",4.1,6.7
"Haringey 009C","E01001965",4.4,2.8
"Haringey 009D","E01001966",5.2,4.0
"Haringey 010A","E01002027",3.6,7.3
"Haringey 010B","E01002028",4.0,7.4
"Haringey 010C","E01002032",6.9,9.4
"Haringey 010D","E01002033",4.7,7.1
"Haringey 011A","E01001976",3.6,5.9
"Haringey 011B","E01001977",3.6,5.0
"Haringey 011C","E01001978",4.8,6.3
"Haringey 011D","E01001979",5.5,6.4
"Haringey 012A","E01002074",3.9,5.3
"Haringey 012B","E01002077",5.9,6.7
"Haringey 012C","E01002079",4.9,6.6
"Haringey 012D","E01002081",4.9,8.8
"Haringey 013A","E01002082",5.9,8.1
"Haringey 013B","E01002086",4.1,6.4
"Haringey 013C","E01002088",3.0,5.5
"Haringey 013D","E01002089",6.6,7.3
"Haringey 014A","E01001967",4.1,3.1
"Haringey 014B","E01001968",4.7,3.9
"Haringey 014C","E01001996",4.0,3.6
"Haringey 014D","E01001997",9.4,4.8
"Haringey 015A","E01002075",5.6,5.4
"Haringey 015B","E01002076",4.0,6.2
"Haringey 015C","E01002078",4.0,5.8
"Haringey 015E","E01033943",7.2,13.6
"Haringey 015F","E01033944",13.9,16.3
"Haringey 016A","E01002026",4.7,8.1
"Haringey 016B","E01002029",4.1,10.2
"Haringey 016C","E01002030",3.5,7.0
"Haringey 016D","E01002031",3.1,8.6
"Haringey 017A","E01001991",3.9,5.1
"Haringey 017B","E01001992",4.8,5.0
"Haringey 017C","E01001993",5.0,4.2
"Haringey 017D","E01001995",5.1,5.1
"Haringey 018A","E01001980",4.2,6.6
"Haringey 018B","E01001981",5.1,6.5
"Haringey 018C","E01001982",3.0,3.9
"Haringey 018D","E01001983",3.9,4.9
"Haringey 019A","E01002083",2.4,5.9
"Haringey 019B","E01002084",4.0,6.1
"Haringey 019C","E01002085",5.4,8.2
"Haringey 019D","E01002087",3.0,6.6
"Haringey 020B","E01002014",3.2,5.4
"Haringey 020C","E01002015",4.1,4.8
"Haringey 020D","E01002018",4.7,4.6
"Haringey 020F","E01033086",5.9,6.1
"Haringey 020G","E01033945",4.0,4.2
"Haringey 020H","E01033946",2.1,3.2
"Haringey 021A","E01002020",3.4,4.9
"Haringey 021B","E01002022",2.6,5.3
"Haringey 021C","E01002023",3.9,3.9
"Haringey 021D","E01002025",4.1,3.5
"Haringey 022A","E01002013",3.2,2.4
"Haringey 022B","E01002019",4.7,3.6
"Haringey 022C","E01002021",4.1,3.6
"Haringey 022D","E01002024",3.5,5.2
"Haringey 023A","E01001998",2.6,4.3
"Haringey 023B","E01001999",3.0,4.8
"Haringey 023C","E01002003",4.3,7.7
"Haringey 023D","E01002004",3.0,6.8
"Haringey 024A","E01002067",3.4,7.6
"Haringey 024B","E01002069",3.9,6.6
"Haringey 024C","E01002070",3.2,5.2
"Haringey 024D","E01002073",3.7,6.0
"Haringey 025A","E01002066",6.3,10.9
"Haringey 025B","E01002068",5.0,7.9
"Haringey 025C","E01002071",5.0,6.3
"Haringey 025D","E01002072",4.8,12.3
"Haringey 026A","E01002043",3.4,5.2
"Haringey 026B","E01002045",4.5,5.4
"Haringey 026C","E01002046",4.0,6.6
"Haringey 026D","E01002049",4.5,7.6
"Haringey 027A","E01002042",2.2,6.0
"Haringey 027B","E01002044",2.6,6.4
"Haringey 027C","E01002047",1.3,7.5
"Haringey 027D","E01002048",4.0,5.9
"Haringey 028A","E01002016",3.7,4.5
"Haringey 028B","E01002017",4.1,5.4
"Haringey 028C","E01002059",3.4,4.2
"Haringey 028D","E01002060",3.5,3.8
"Haringey 029A","E01002050",7.3,5.0
"Haringey 029B","E01002051",4.2,7.6
"Haringey 029C","E01002052",8.1,4.9
"Haringey 029D","E01002055",6.5,4.5
"Haringey 030A","E01001994",3.5,4.8
"Haringey 030B","E01002008",4.8,3.4
"Haringey 030C","E01002010",4.1,4.1
"Haringey 030D","E01002011",3.5,5.2
"Haringey 031A","E01002000",2.8,5.9
"Haringey 031B","E01002001",2.4,5.9
"Haringey 031C","E01002002",2.2,7.3
"Haringey 031D","E01002058",4.3,8.5
"Haringey 032A","E01002053",6.0,8.7
"Haringey 032B","E01002054",6.9,6.1
"Haringey 032C","E01002056",3.7,7.8
"Haringey 032D","E01002057",3.1,8.8
"Haringey 033A","E01001984",1.4,3.4
"Haringey 033B","E01001985",3.3,2.5
"Haringey 033C","E01001987",2.7,2.3
"Haringey 033D","E01001989",3.7,3.1
"Haringey 034A","E01001986",3.2,5.1
"Haringey 034B","E01001988",2.6,3.5
"Haringey 034C","E01001990",1.8,4.8
"Haringey 034D","E01002062",2.2,5.1
"Haringey 035A","E01002005",1.6,6.2
"Haringey 035B","E01002006",2.7,4.0
"Haringey 035C","E01002007",2.7,3.8
"Haringey 035D","E01002009",4.4,4.1
"Haringey 036A","E01002061",2.7,4.2
"Haringey 036B","E01002063",3.1,7.2
"Haringey 036C","E01002064",3.5,6.6
"Haringey 036D","E01002065",1.4,6.0
"Haringey 037A","E01002034",4.3,5.0
"Haringey 037B","E01002038",4.9,8.1
"Haringey 037C","E01002041",5.0,5.7
"Haringey 037D","E01032575",7.6,9.0
"Harrow 001A","E01002112",4.3,4.8
"Harrow 001B","E01002114",3.5,5.2
"Harrow 001C","E01002225",3.3,2.7
"Harrow 001D","E01002226",4.2,4.8
"Harrow 002A","E01002113",4.0,5.6
"Harrow 002B","E01002115",4.3,6.4
"Harrow 002C","E01002116",3.1,3.3
"Harrow 002E","E01002118",3.5,5.2
"Harrow 002F","E01034589",5.9,6.9
"Harrow 002G","E01034590",3.7,3.7
"Harrow 003A","E01002227",4.9,9.8
"Harrow 003B","E01002228",5.3,6.7
"Harrow 003C","E01002229",3.8,4.8
"Harrow 003D","E01002230",3.6,4.6
"Harrow 004A","E01002144",4.6,4.0
"Harrow 004B","E01002146",4.0,4.9
"Harrow 004C","E01002147",3.5,4.7
"Harrow 004D","E01002149",3.2,4.2
"Harrow 005A","E01002140",4.8,7.7
"Harrow 005B","E01002141",4.6,5.1
"Harrow 005C","E01002142",4.1,5.3
"Harrow 005D","E01002143",5.2,6.6
"Harrow 005E","E01002145",3.0,4.1
"Harrow 006A","E01002139",6.3,8.3
"Harrow 006B","E01002148",3.3,3.9
"Harrow 006C","E01002150",3.0,3.2
"Harrow 006D","E01002151",6.3,7.0
"Harrow 006E","E01002152",3.8,2.4
"Harrow 007A","E01002119",5.6,6.4
"Harrow 007B","E01002120",4.8,6.0
"Harrow 007C","E01002121",4.0,6.5
"Harrow 007D","E01002122",5.1,7.4
"Harrow 007E","E01002123",4.5,5.8
"Harrow 008A","E01002106",4.5,4.9
"Harrow 008B","E01002108",4.5,5.6
"Harrow 008C","E01002109",4.3,4.2
"Harrow 008D","E01002110",5.1,6.5
"Harrow 008E","E01002111",4.9,6.6
"Harrow 009A","E01002185",6.0,6.4
"Harrow 009B","E01002186",3.3,5.7
"Harrow 009C","E01002187",3.9,4.3
"Harrow 009D","E01002190",3.5,4.2
"Harrow 010A","E01002124",5.2,6.6
"Harrow 010B","E01002125",4.7,6.1
"Harrow 010C","E01002198",3.8,6.9
"Harrow 010D","E01002200",6.5,6.8
"Harrow 010E","E01002203",4.3,6.6
"Harrow 011A","E01002232",3.9,9.5
"Harrow 011B","E01002233",4.3,6.1
"Harrow 011C","E01002234",5.4,5.5
"Harrow 011D","E01002235",5.8,6.7
"Harrow 011E","E01002236",4.9,6.1
"Harrow 012A","E01002107",4.7,4.3
"Harrow 012B","E01002197",4.1,5.2
"Harrow 012C","E01002199",4.1,8.1
"Harrow 012D","E01002201",3.6,6.7
"Harrow 012E","E01002202",4.5,5.9
"Harrow 013A","E01002179",3.5,6.5
"Harrow 013C","E01002183",4.7,5.6
"Harrow 013D","E01002184",4.9,5.3
"Harrow 013E","E01002231",5.7,5.7
"Harrow 013F","E01034591",7.1,6.3
"Harrow 013G","E01034592",6.3,7.1
"Harrow 015B","E01002156",3.8,4.1
"Harrow 015C","E01002162",4.5,5.9
"Harrow 015D","E01002163",4.4,5.7
"Harrow 015E","E01034593",4.4,5.1
"Harrow 015F","E01034594",3.9,3.9
"Harrow 016A","E01002188",4.1,3.9
"Harrow 016B","E01002189",3.5,3.9
"Harrow 016C","E01002192",2.7,4.2
"Harrow 016D","E01002193",4.4,4.6
"Harrow 017A","E01002165",3.7,7.2
"Harrow 017B","E01002166",4.1,6.4
"Harrow 017C","E01002167",3.9,7.2
"Harrow 017D","E01002168",6.6,7.8
"Harrow 017E","E01002169",3.7,7.1
"Harrow 019A","E01002153",4.2,3.8
"Harrow 019B","E01002155",4.2,4.8
"Harrow 019C","E01002157",3.6,4.2
"Harrow 019D","E01002158",4.3,4.8
"Harrow 020A","E01002128",3.4,6.4
"Harrow 020B","E01002130",4.8,7.5
"Harrow 020C","E01002181",3.6,5.0
"Harrow 020D","E01002182",4.7,5.2
"Harrow 021A","E01002159",4.3,5.3
"Harrow 021B","E01002160",3.6,5.1
"Harrow 021C","E01002161",4.2,6.8
"Harrow 021D","E01002164",3.8,4.7
"Harrow 022A","E01002191",4.2,5.3
"Harrow 022B","E01002194",3.5,4.3
"Harrow 022C","E01002195",5.4,4.5
"Harrow 022D","E01002196",3.8,3.2
"Harrow 023B","E01002127",3.0,6.4
"Harrow 023C","E01002129",2.6,6.3
"Harrow 023D","E01002131",3.2,5.6
"Harrow 023E","E01034595",2.8,3.7
"Harrow 023F","E01034596",2.1,4.3
"Harrow 023G","E01034597",5.4,4.9
"Harrow 023H","E01034598",1.7,7.0
"Harrow 024A","E01002237",3.4,8.4
"Harrow 024B","E01002238",4.0,5.2
"Harrow 024C","E01002240",6.2,7.4
"Harrow 024D","E01002242",4.8,5.2
"Harrow 025A","E01002208",3.7,4.4
"Harrow 025B","E01002209",4.3,6.4
"Harrow 025C","E01002239",3.6,5.3
"Harrow 025D","E01002241",4.3,6.2
"Harrow 027A","E01002133",4.5,5.9
"Harrow 027B","E01002136",4.3,5.1
"Harrow 027C","E01002138",5.4,6.3
"Harrow 027E","E01034599",4.6,7.1
"Harrow 027F","E01034600",3.3,4.7
"Harrow 028A","E01002211",5.4,8.4
"Harrow 028B","E01002212",4.7,6.0
"Harrow 028C","E01002216",5.3,5.1
"Harrow 028D","E01002217",5.1,7.7
"Harrow 029A","E01002132",3.7,6.6
"Harrow 029B","E01002134",3.6,6.0
"Harrow 029C","E01002135",4.5,5.3
"Harrow 029D","E01002137",24.7,2.9
"Harrow 030A","E01002218",4.0,4.3
"Harrow 030B","E01002219",5.3,6.1
"Harrow 030C","E01002221",5.2,6.8
"Harrow 030D","E01002222",4.7,6.4
"Harrow 031A","E01002214",5.7,8.9
"Harrow 031B","E01002215",5.4,5.2
"Harrow 031C","E01002220",5.8,6.7
"Harrow 031D","E01002223",3.8,6.8
"Harrow 031E","E01002224",7.6,8.1
"Harrow 032A","E01002204",4.0,7.2
"Harrow 032B","E01002206",3.6,6.4
"Harrow 032C","E01002207",7.4,6.0
"Harrow 032D","E01002210",5.2,5.9
"Harrow 032E","E01032576",4.6,6.1
"Harrow 033A","E01002170",3.7,7.0
"Harrow 033B","E01002171",4.3,6.6
"Harrow 033C","E01002172",4.5,4.7
"Harrow 033D","E01002173",3.2,6.5
"Harrow 033E","E01002174",3.5,5.1
"Harrow 033F","E01002175",4.1,5.2
"Harrow 033G","E01002176",2.9,6.7
"Harrow 033H","E01002177",4.7,7.6
"Harrow 033I","E01002178",5.1,7.5
"Havering 001A","E01002276",5.2,6.5
"Havering 001B","E01002278",6.3,6.3
"Havering 001C","E01002312",3.7,5.6
"Havering 001D","E01002313",4.1,6.2
"Havering 002A","E01002277",4.9,6.1
"Havering 002B","E01002279",5.3,5.3
"Havering 002C","E01002281",3.4,4.5
"Havering 002D","E01002283",5.2,6.5
"Havering 002E","E01002299",5.4,6.3
"Havering 003A","E01002301",3.4,3.6
"Havering 003B","E01002303",5.7,7.3
"Havering 003C","E01002304",4.0,6.4
"Havering 003D","E01002306",4.9,6.7
"Havering 003E","E01002307",4.9,6.2
"Havering 004A","E01002280",5.3,6.8
"Havering 004B","E01002282",6.0,6.1
"Havering 004C","E01002284",4.8,5.0
"Havering 004D","E01002297",4.9,6.5
"Havering 004E","E01002314",6.6,5.9
"Havering 004F","E01002316",5.7,4.7
"Havering 005A","E01002302",5.5,6.1
"Havering 005B","E01002305",5.3,5.0
"Havering 005C","E01002308",4.9,5.6
"Havering 005D","E01002326",4.9,6.2
"Havering 005E","E01002331",4.7,5.7
"Havering 006A","E01002309",4.5,5.5
"Havering 006B","E01002310",4.0,5.3
"Havering 006C","E01002311",5.0,4.7
"Havering 006D","E01002315",4.2,5.7
"Havering 007B","E01002294",3.4,4.5
"Havering 007C","E01002296",3.1,4.6
"Havering 007D","E01002298",5.1,5.0
"Havering 007E","E01002300",3.2,4.4
"Havering 007F","E01033784",3.7,4.9
"Havering 007G","E01033785",2.2,3.5
"Havering 008A","E01002333",3.7,5.9
"Havering 008B","E01002334",3.8,4.2
"Havering 008C","E01002336",4.0,6.0
"Havering 008D","E01002339",5.2,5.8
"Havering 008E","E01002341",4.1,4.5
"Havering 009A","E01002327",4.1,5.8
"Havering 009B","E01002328",4.4,5.3
"Havering 009C","E01002332",5.1,4.8
"Havering 009D","E01002335",2.6,4.1
"Havering 009E","E01002338",5.9,5.5
"Havering 009F","E01002340",4.7,5.1
"Havering 010A","E01002268",4.2,5.7
"Havering 010B","E01002269",4.7,7.0
"Havering 010C","E01002295",4.4,3.8
"Havering 010D","E01002377",3.7,4.7
"Havering 010E","E01002378",4.0,6.1
"Havering 010F","E01002383",3.5,5.2
"Havering 011A","E01002244",4.1,4.2
"Havering 011B","E01002245",3.9,4.6
"Havering 011C","E01002325",3.5,5.9
"Havering 011D","E01002329",5.5,5.5
"Havering 011E","E01002330",5.2,5.1
"Havering 012A","E01002337",4.3,5.4
"Havering 012B","E01002354",4.1,3.5
"Havering 012C","E01002376",5.4,4.7
"Havering 012D","E01002379",3.5,4.1
"Havering 012E","E01002380",2.2,4.3
"Havering 012F","E01002381",3.2,4.6
"Havering 013A","E01002243",3.4,4.8
"Havering 013B","E01002353",5.2,6.8
"Havering 013C","E01002356",2.6,6.5
"Havering 013E","E01032741",2.3,6.7
"Havering 013F","E01032742",2.9,4.5
"Havering 014A","E01002272",3.9,3.8
"Havering 014B","E01002274",4.3,5.6
"Havering 014C","E01002317",6.0,6.5
"Havering 014D","E01002318",3.9,5.4
"Havering 014E","E01002355",3.7,4.3
"Havering 014F","E01002382",3.7,4.6
"Havering 015A","E01002270",3.9,4.1
"Havering 015B","E01002271",4.2,6.6
"Havering 015C","E01002273",4.8,5.4
"Havering 015D","E01002275",3.9,4.9
"Havering 016A","E01002319",5.0,6.4
"Havering 016B","E01002350",4.9,4.9
"Havering 016C","E01002351",4.8,5.1
"Havering 016D","E01002352",4.7,4.9
"Havering 016E","E01002358",4.0,5.6
"Havering 017A","E01002246",3.9,6.2
"Havering 017B","E01002247",4.8,5.2
"Havering 017C","E01002248",4.3,5.1
"Havering 017E","E01002250",5.1,6.7
"Havering 017F","E01002251",5.5,6.8
"Havering 017G","E01033786",1.9,4.6
"Havering 017H","E01033787",2.9,5.9
"Havering 017I","E01033788",5.1,5.6
"Havering 018A","E01002252",4.2,4.9
"Havering 018B","E01002256",4.3,5.9
"Havering 018C","E01002258",4.1,4.4
"Havering 018D","E01002259",4.7,5.1
"Havering 018E","E01002391",3.6,5.4
"Havering 019A","E01002253",4.1,4.3
"Havering 019B","E01002254",4.4,5.3
"Havering 019C","E01002257",6.0,4.8
"Havering 019D","E01002384",4.6,4.6
"Havering 020A","E01002359",4.8,5.7
"Havering 020B","E01002360",2.8,3.4
"Havering 020C","E01002361",3.3,5.0
"Havering 020D","E01002363",4.0,5.6
"Havering 020E","E01002367",3.4,6.2
"Havering 021A","E01002320",4.1,5.6
"Havering 021B","E01002321",4.3,4.6
"Havering 021C","E01002322",4.8,5.6
"Havering 021D","E01002323",5.2,5.4
"Havering 021E","E01002324",4.3,5.1
"Havering 022A","E01002255",4.0,4.2
"Havering 022B","E01002289",3.8,5.6
"Havering 022C","E01002292",4.0,4.9
"Havering 022D","E01002362",3.6,4.6
"Havering 022E","E01002386",3.5,5.4
"Havering 023A","E01002287",3.9,4.9
"Havering 023B","E01002291",1.9,5.2
"Havering 023C","E01002364",4.4,5.0
"Havering 023D","E01002365",3.9,5.9
"Havering 023E","E01002366",4.8,5.0
"Havering 024A","E01002385",3.7,5.3
"Havering 024B","E01002387",5.2,3.7
"Havering 024C","E01002388",3.9,5.4
"Havering 024D","E01002389",3.9,4.8
"Havering 024E","E01002390",4.6,5.7
"Havering 025A","E01002265",3.2,4.4
"Havering 025B","E01002285",2.9,4.9
"Havering 025C","E01002286",4.9,5.3
"Havering 025D","E01002288",4.1,5.1
"Havering 025E","E01002290",3.1,5.3
"Havering 026A","E01002260",3.8,5.3
"Havering 026B","E01002261",4.9,5.8
"Havering 026C","E01002262",4.0,6.2
"Havering 026D","E01002263",3.4,4.2
"Havering 026E","E01002264",5.1,4.8
"Havering 027A","E01002266",4.6,5.4
"Havering 027B","E01002267",4.9,5.3
"Havering 027C","E01002372",5.5,5.4
"Havering 027D","E01002373",4.4,5.2
"Havering 027E","E01002374",4.7,7.7
"Havering 028A","E01002368",5.1,6.2
"Havering 028B","E01002369",4.7,7.4
"Havering 028C","E01002370",5.9,6.6
"Havering 028D","E01002371",5.2,5.9
"Havering 028E","E01002375",5.0,5.7
"Havering 029A","E01002343",4.4,6.1
"Havering 029B","E01002344",4.7,5.0
"Havering 029C","E01002348",4.0,4.4
"Havering 029D","E01002349",3.6,5.3
"Havering 030A","E01002342",5.2,5.9
"Havering 030B","E01002345",3.5,5.4
"Havering 030C","E01002346",4.6,6.1
"Havering 030D","E01002347",4.7,5.6
"Hillingdon 001A","E01002473",3.1,3.3
"Hillingdon 001B","E01002475",3.1,3.1
"Hillingdon 001C","E01002476",3.6,3.6
"Hillingdon 001D","E01002477",3.2,2.7
"Hillingdon 001E","E01002482",4.3,4.1
"Hillingdon 002A","E01002472",3.2,5.1
"Hillingdon 002B","E01002474",3.4,4.0
"Hillingdon 002C","E01002478",2.3,4.9
"Hillingdon 002D","E01002483",3.4,4.7
"Hillingdon 002E","E01002484",4.0,4.4
"Hillingdon 002F","E01002485",3.8,5.3
"Hillingdon 003A","E01002438",3.6,4.0
"Hillingdon 003B","E01002439",3.8,5.4
"Hillingdon 003C","E01002440",3.6,4.7
"Hillingdon 003D","E01002441",3.8,4.5
"Hillingdon 003E","E01002442",5.6,5.5
"Hillingdon 004A","E01002433",4.1,5.3
"Hillingdon 004B","E01002436",3.8,4.9
"Hillingdon 004C","E01002479",4.3,4.9
"Hillingdon 004D","E01002480",3.1,3.9
"Hillingdon 004E","E01002481",3.6,6.0
"Hillingdon 005A","E01002533",4.9,6.5
"Hillingdon 005B","E01002534",4.1,3.9
"Hillingdon 005C","E01002538",3.0,3.1
"Hillingdon 005D","E01002539",4.0,3.2
"Hillingdon 006A","E01002418",4.8,5.5
"Hillingdon 006B","E01002419",4.0,4.9
"Hillingdon 006C","E01002431",4.6,5.2
"Hillingdon 006D","E01002432",2.7,4.8
"Hillingdon 006E","E01002437",3.8,3.4
"Hillingdon 007A","E01002430",5.9,4.6
"Hillingdon 007B","E01002434",3.7,6.4
"Hillingdon 007C","E01002435",3.7,5.2
"Hillingdon 007D","E01002470",3.1,5.9
"Hillingdon 007E","E01002535",2.4,6.9
"Hillingdon 008A","E01002416",4.2,5.2
"Hillingdon 008B","E01002417",3.5,4.4
"Hillingdon 008C","E01002420",3.2,3.4
"Hillingdon 008D","E01002421",3.6,4.1
"Hillingdon 008E","E01002471",3.9,4.1
"Hillingdon 009A","E01002465",4.6,4.7
"Hillingdon 009B","E01002467",4.1,3.9
"Hillingdon 009C","E01002494",3.9,5.5
"Hillingdon 009D","E01002536",2.4,3.6
"Hillingdon 009E","E01002537",2.4,3.6
"Hillingdon 010A","E01002415",3.8,3.9
"Hillingdon 010B","E01002466",4.5,4.2
"Hillingdon 010C","E01002468",4.4,5.1
"Hillingdon 010D","E01002469",4.3,4.6
"Hillingdon 010E","E01002495",3.1,5.4
"Hillingdon 011A","E01002458",3.3,4.6
"Hillingdon 011B","E01002459",4.1,4.8
"Hillingdon 011C","E01002460",2.7,5.2
"Hillingdon 011D","E01002462",4.3,3.7
"Hillingdon 011E","E01002464",3.6,4.4
"Hillingdon 013A","E01002461",3.4,5.0
"Hillingdon 013B","E01002463",5.3,5.0
"Hillingdon 013C","E01002512",4.1,3.7
"Hillingdon 013D","E01002513",3.1,4.7
"Hillingdon 013E","E01002516",4.1,4.8
